R1,R2,R3,R4,R(R),K(R),R_norm,K_norm,d
0.96,0.95,0.95,0.97,1.0296008656209692,1801.1267139844313,0.0011598540781353323,0.05113661686724264,1.0001482843507952
1.0,0.96,0.95,0.95,1.5506872852233695,1801.0888711164305,0.010202695422397236,0.14479725141510105,1.000332418832088
0.95,0.95,0.95,0.98,1.0367329790476247,1801.122883854419,0.001283623510115035,0.06061614171066709,1.000554205080851
0.97,0.95,0.95,0.97,1.1915854080708945,1801.108439485668,0.003970905110160318,0.09636577735733007,1.0006799293044484
0.98,0.96,0.95,0.95,1.0931822114552692,1801.1159960314626,0.0022632334816379707,0.07766341911907722,1.0007548460695965
0.99,0.96,0.95,0.95,1.2845959196583916,1801.1016208015885,0.005584993038754062,0.11324193689287752,1.0008421165903167
0.98,0.95,0.95,0.97,1.4086877863420186,1801.0922314592444,0.007738461293385525,0.13648044413066707,1.0016036505656927
0.99,0.95,0.95,0.97,1.714807517390541,1801.07785622937,0.013050808835146642,0.17205896190559286,1.0018348128873285
1.0,0.95,0.95,0.98,2.882259010623746,1801.0406719743798,0.03331055507548195,0.2640895373230231,1.0021136495687308
0.96,0.95,0.95,0.98,1.1963181885812448,1801.102279414599,0.0040530369440794755,0.11161187776301208,1.0021814029795688
0.95,0.95,0.95,0.99,1.2107510339795755,1801.1003279035897,0.004303501984375382,0.11644184359588607,1.0024820293155323
0.99,0.95,0.95,1.0,4.215896758363629,1801.0100439417897,0.05645426811396888,0.339893542645371,1.0028988824863485
0.98,0.95,0.96,0.95,1.093182211455269,1801.103143163641,0.002263233481637967,0.10947410946886808,1.0037246813277625
0.97,0.96,0.95,0.96,1.085387479469444,1801.1035298245602,0.0021279650846556756,0.10851712843264848,1.0037552317319987
0.97,0.95,0.95,0.98,1.408687786342018,1801.0840049158357,0.007738461293385513,0.1568410382530995,1.004580545539644
0.99,0.95,0.96,0.95,1.284595919658392,1801.0887679337668,0.00558499303875407,0.14505262724323112,1.004938540777444
0.97,0.97,0.95,0.95,0.9972401455621955,1801.1038108798734,0.0005982718793498623,0.10782151997653609,1.0052011213387062
1.0,0.95,0.96,0.95,1.5506872852233695,1801.076018248609,0.010202695422397236,0.1766079417648919,1.005429793294151
0.95,0.95,0.95,1.0,1.4491253274740148,1801.079506136671,0.008440207213165435,0.16797546155467585,1.005687117525116
0.98,0.96,0.95,0.96,1.2686300226541078,1801.0873217981361,0.005307923692677596,0.14863179520711098,1.0057354210800475
0.96,0.95,0.95,0.99,1.4219082378029706,1801.0797234637698,0.007967886664233077,0.16743757964823106,1.0060631476045059
0.96,0.96,0.95,0.97,1.0853874794694454,1801.0953346698197,0.002127965084655699,0.12880003598575712,1.0061501117308602
0.98,0.95,0.95,0.98,1.7052194496622874,1801.067796889412,0.012884419207624221,0.19695570502699924,1.0065727592110527
0.99,0.95,0.95,0.98,2.1483065630893052,1801.0534216595377,0.020573674420732144,0.2325342228013623,1.0066519219728036
0.95,0.96,0.95,0.98,1.0931822114552692,1801.0915045398071,0.0022632334816379707,0.1382795608297443,1.0072734942436357
0.99,0.96,0.95,0.96,1.5200750654353323,1801.072946568262,0.009671456387324867,0.18421031298091126,1.0073152752254517
1.0,0.96,0.95,0.96,1.886506240088261,1801.0601968831043,0.016030438029000133,0.21576562750257205,1.0073484525708967
0.98,0.97,0.95,0.95,1.1547615938983895,1801.0876028534494,0.003331871167370894,0.1479361867509986,1.0075874524730648
0.97,0.95,0.96,0.96,1.0853874794694445,1801.0906769567387,0.0021279650846556834,0.14032781878243933,1.007690674160641
0.96,0.97,0.95,0.96,0.9940199693919511,1801.0934111453103,0.000542389512984775,0.13356073557448242,1.0083421965025618
0.99,0.99,0.96,1.0,17.772606382979063,1800.8571016888316,0.2917150035197492,0.718423744451022,1.0088608986525627
0.99,0.95,0.95,0.99,2.8556152658862075,1801.0308657087085,0.03284818425287942,0.2883599246865813,1.009224494782109
0.97,0.95,0.95,0.99,1.714807517390541,1801.0614489650065,0.013050808835146642,0.21266674013831846,1.0096018266138476
0.99,0.97,0.95,0.95,1.3662039670908248,1801.0732276235753,0.007001204625902273,0.1835147045247989,1.00981397019017
0.97,0.96,0.95,0.97,1.2633981028050854,1801.0770601710565,0.005217129883165722,0.17402919647584453,1.0098906474979925
0.97,0.96,0.96,0.95,0.9974383027853945,1801.0879718754531,0.0006017106646706824,0.14702286181404556,1.0101547716178816
0.95,0.97,0.95,0.97,0.9972401455621964,1801.0875459316262,0.0005982718793498777,0.14807706756589625,1.0103121458784194
0.96,0.95,0.95,1.0,1.7442422290223891,1801.058901696851,0.013561613602432647,0.21897119760702083,1.0104499371765476
0.96,0.95,0.96,0.97,1.0853874794694454,1801.0824818019983,0.002127965084655699,0.160610726335548,1.0107147982888756
0.98,0.95,0.96,0.96,1.2686300226541076,1801.0744689303147,0.005307923692677592,0.18044248555690182,1.0109262175166518
1.0,0.97,0.95,0.95,1.6649708058350305,1801.0604779384175,0.01218595137818184,0.21507001904645967,1.0109558386731206
1.0,0.96,0.95,0.99,5.009765625000015,1800.986736708939,0.0702309276834496,0.39757865832731926,1.0112068618209282
0.98,0.95,0.95,0.99,2.1483065630893043,1801.0452409385828,0.020573674420732126,0.25278140691221823,1.0115208188259035
0.95,0.95,0.96,0.98,1.0931822114552698,1801.0786516719857,0.0022632334816379824,0.17009025117953516,1.0121310926993765
0.96,0.96,0.95,0.98,1.268630022654108,1801.0709000999875,0.0053079236926776,0.18927529688152656,1.0125401052196215
0.97,0.95,0.97,0.95,0.9972401455621955,1801.08128019783,0.0005982718793498623,0.1635846819266902,1.0127012206626385
0.97,0.97,0.95,0.96,1.146211886119354,1801.075136646547,0.0031835010543201417,0.17878989606456985,1.0127235355738022
0.97,0.98,0.95,0.95,1.049646890357015,1801.0781196699904,0.0015077292375177771,0.17140694959817723,1.0130978023581783
0.95,0.96,0.95,0.99,1.2845959196583898,1801.068948588978,0.005584993038754032,0.19410526271496328,1.0131821450674008
0.98,0.95,0.95,1.0,2.882259010623742,1801.024419171664,0.03331055507548188,0.304315024871008,1.0134575064060234
0.98,0.96,0.95,0.97,1.5052270499836657,1801.0608521446325,0.009413786559527359,0.21414386325030704,1.0134686183726163
0.99,0.95,0.96,0.96,1.5200750654353326,1801.0600937004406,0.00967145638732487,0.21602100333070212,1.013615162758532
0.97,0.95,0.95,1.0,2.178812314890867,1801.0406271980878,0.02110306582924254,0.26420035809710823,1.0139235853591475
0.98,0.96,0.96,0.95,1.1550151975683896,1801.0717638490294,0.003336272160499602,0.1871375285879453,1.0140803917820982
0.96,0.96,0.96,0.96,0.9942170618550833,1801.07757214089,0.0005458098206481636,0.17276207741199187,1.0142758074896447
1.0,0.95,0.96,0.96,1.886506240088261,1801.0473440152828,0.016030438029000133,0.2475763178523629,1.0146379315040097
1.0,0.96,0.95,0.97,2.394335700675561,1801.0337272296006,0.024843220456792083,0.2812776955457681,1.014912748319095
1.0,0.99,0.95,0.99,10.940415481869815,1800.9094059530257,0.17315037387620189,0.5889713315450249,1.0151687217418512
0.99,0.96,0.95,0.97,1.8526888766437855,1801.0464769147584,0.015443577499142205,0.24972238102410732,1.0157325517438325
0.97,0.95,0.96,0.97,1.2633981028050858,1801.064207303235,0.005217129883165729,0.2058398868256354,1.0158558055581888
0.96,0.97,0.95,0.97,1.146211886119354,1801.0669414918066,0.0031835010543201417,0.19907280361767848,1.0165004248452263
0.96,0.99,0.95,0.95,0.9627652123314981,1801.0731478007365,0.0,0.1837122650727957,1.0167350669364057
0.95,0.96,0.96,0.97,0.9974383027853948,1801.0717069272064,0.0006017106646706883,0.18727840940228022,1.0167940515928633
0.98,0.97,0.95,0.96,1.348457382791853,1801.058928620123,0.006693233548205369,0.21890456283903234,1.0171418484708354
0.96,0.95,0.97,0.96,0.9940199693919511,1801.0708804632668,0.000542389512984775,0.18932389752463655,1.0172310717503341
0.98,0.95,0.97,0.95,1.1547615938983893,1801.065072171406,0.0033318711673708903,0.2036993487011527,1.0172712439128553
0.99,0.96,0.96,0.95,1.366542354821525,1801.057388619155,0.007007076946589312,0.22271604636230835,1.0176627056846559
0.98,0.98,0.95,0.95,1.2222037658204117,1801.0619116435664,0.004502250662328034,0.21152161637263972,1.0177215548121523
0.96,0.98,0.95,0.96,1.0461392480132852,1801.0677199354272,0.0014468582341418555,0.19714616519612355,1.0178285648290695
0.97,0.96,0.95,0.98,1.5052270499836657,1801.0526256012242,0.009413786559527359,0.23450445737161396,1.017965317083784
0.95,0.97,0.95,0.98,1.1547615938983904,1801.063111361794,0.00333187116737091,0.2085523284616657,1.0182541101009692
0.96,0.95,0.96,0.98,1.268630022654108,1801.0580472321658,0.0053079236926776,0.22108598723188017,1.018965819063067
0.99,0.96,0.95,1.0,5.0097656250000275,1800.9786646271782,0.07023092768344981,0.4175569617638855,1.0192273270246757
1.0,0.96,0.95,0.98,3.2518337408313025,1801.009292659768,0.03972408942294269,0.3417529564421003,1.0192766590438107
0.95,0.95,0.96,0.99,1.2845959196583907,1801.0560957211565,0.005584993038754048,0.22591595306475415,1.0197544919826984
0.95,0.96,0.95,1.0,1.5506872852233682,1801.0481268220592,0.010202695422397212,0.24563888067375306,1.0198221236312448
1.0,0.98,0.97,0.99,17.853776806447403,1800.8503491463744,0.2931236206582093,0.7351362042820344,1.0198526631418658
0.95,0.95,0.97,0.97,0.997240145562196,1801.0650152495828,0.00059827187934987,0.20384022951605035,1.0199777710027302
1.0,0.96,0.96,0.95,1.6654492330168027,1801.0446389339972,0.012194253918675697,0.2542713608839691,1.0200069200535198
0.96,0.96,0.95,0.99,1.5200750654353317,1801.0483441491583,0.009671456387324855,0.24510099876674551,1.020208372780021
0.97,0.96,0.96,0.96,1.1464623112553245,1801.0592976421267,0.0031878468877328116,0.2179912379020793,1.0203698586269563
0.95,0.99,0.95,0.96,0.9627652123314984,1801.06507800723,3.853322708387705e-18,0.20368490510792173,1.0205329688789202
0.99,0.97,0.95,0.96,1.6303089113582028,1801.044553390249,0.01158443500651231,0.25448308061283265,1.020650266957097
0.98,0.95,0.96,0.97,1.5052270499836653,1801.047999276811,0.00941378655952735,0.24595455360009788,1.0206638470598226
0.95,0.98,0.95,0.97,1.0496468903570155,1801.0618547217432,0.0015077292375177847,0.21166249718753738,1.020680080871613
0.99,0.95,0.97,0.95,1.366203967090825,1801.050696941532,0.007001204625902277,0.239277866474953,1.0214208265936302
0.99,0.98,0.95,0.95,1.456867282487056,1801.0475364136923,0.008574559727918677,0.24710013414644003,1.0217548042039633
0.97,0.97,0.96,0.95,1.0500696635707687,1801.0595786974402,0.0015150659689173302,0.21729562944540418,1.0218559360610133
1.0,0.97,0.95,0.96,2.0502836800534014,1801.031803705091,0.018872602686647873,0.2860383951344934,1.021973058964858
0.98,0.96,0.95,0.98,1.841688803481603,1801.0364175748002,0.015252684179648698,0.2746191241460765,1.0223223265497752
1.0,0.95,1.0,0.99,17.61235955056212,1800.8505660210587,0.28893410839956435,0.7345994420959254,1.0223751965522088
0.97,0.97,0.95,0.97,1.3426463284129881,1801.0486669930433,0.006592389540735269,0.24430196410776592,1.0230064174702418
1.0,0.97,0.95,0.99,6.142588777117958,1800.958343530926,0.08988973983120345,0.4678514259586779,1.0233208892796446
0.97,0.99,0.95,0.95,1.1066272700702195,1801.0548733019732,0.0024965566452162255,0.22894142556288313,1.023438955601855
0.99,0.96,0.95,0.98,2.3581560283688,1801.0220423449261,0.024215364837743208,0.31019764191987675,1.0239034286842634
0.99,0.95,0.96,0.97,1.8526888766437861,1801.033624046937,0.015443577499142217,0.2815330713738982,1.0240176850840554
0.97,0.95,0.97,0.96,1.146211886119354,1801.0526059645035,0.0031835010543201417,0.23455305801472395,1.02404016991248
1.0,0.95,0.96,0.99,5.009765625000015,1800.9738838411174,0.0702309276834496,0.4293893486771101,1.0241317008049948
1.0,0.95,0.96,0.97,2.394335700675561,1801.020874361779,0.024843220456792083,0.313088385895559,1.024185081941622
1.0,0.98,0.95,0.95,1.7945258288357766,1801.0347867285343,0.014434226278997452,0.27865544866866354,1.0242015199183276
1.0,0.95,0.97,0.95,1.66497080583503,1801.0379472563739,0.012185951378181832,0.2708331809971765,1.024269108478664
0.97,0.98,0.95,0.96,1.2127887592283872,1801.049445436664,0.004338864307082355,0.24237532568621098,1.024737476444971
0.96,0.96,0.96,0.97,1.1464623112553252,1801.0511024873863,0.003187846887732823,0.23827414545518794,1.0248946467733715
0.97,0.95,0.96,0.98,1.5052270499836664,1801.0397727334025,0.009413786559527371,0.26631514772196757,1.0257605978806688
0.98,0.96,0.96,0.96,1.3487881981032672,1801.0430896157031,0.006698974458470609,0.2581059046754163,1.0262872820853668
0.97,0.96,0.95,0.99,1.8526888766437815,1801.030069650395,0.015443577499142136,0.2903301592568329,1.0264711152593557
0.96,1.0,0.95,0.95,1.0117713004484308,1801.0521136171214,0.0008504429650699326,0.2357716117517839,1.0265905173101546
0.96,0.97,0.95,0.98,1.3484573827918522,1801.0425069219743,0.006693233548205358,0.2595480645134479,1.0266564810449486
0.99,0.99,0.95,1.0,10.940415481869787,1800.9013338712648,0.17315037387620139,0.6089496349821539,1.0268884857500176
0.95,0.96,0.96,0.98,1.1550151975683893,1801.047272357374,0.003336272160499598,0.2477536702986124,1.026995845920208
0.97,0.96,0.97,0.95,1.0500696635707687,1801.049900883218,0.0015150659689173302,0.24124810104633018,1.0272160482320727
0.96,0.98,0.96,0.95,0.9633027522935779,1801.0521619863202,9.328373203424628e-06,0.2356518985775206,1.0273817015324935
0.95,0.97,0.95,0.99,1.3662039670908253,1801.0405554109648,0.007001204625902281,0.2643780303468847,1.0275905558852259
0.96,0.97,0.96,0.96,1.0465596542936542,1801.0491789628772,0.001454153890199077,0.24303484504278774,1.0276963280503195
0.96,0.96,0.95,1.0,1.8865062400882593,1801.0275223822396,0.016030438029000102,0.2966346167255353,1.0277101705857088
1.0,0.98,0.95,0.99,7.890370852309724,1800.9326523210427,0.12022044010614717,0.5314368555808817,1.0278313117806426
0.95,0.95,0.96,1.0,1.5506872852233695,1801.0352739542377,0.010202695422397236,0.27744957102354395,1.027947940612868
0.97,0.95,0.98,0.95,1.049646890357015,1801.048512191143,0.0015077292375177771,0.2446850969142195,1.0280358025984986
0.99,0.96,0.95,0.99,3.218522649496831,1800.999486394097,0.039146014649526634,0.3660233438050957,1.0282088646642524
0.98,0.97,0.96,0.95,1.2227508814497479,1801.0433706710162,0.0045117452099633915,0.25741029621986666,1.0282299966568338
0.96,0.95,0.96,0.99,1.5200750654353317,1801.0354912813366,0.009671456387324855,0.2769116891170991,1.028314498518662
0.98,0.97,0.95,0.97,1.613524082233452,1801.0324589666193,0.01129315405760276,0.2844166308822284,1.0288022390798734
0.96,0.95,0.97,0.97,1.146211886119354,1801.0444108097631,0.0031835010543201417,0.2548359655678326,1.028875357814158
0.96,0.99,0.95,0.96,1.1027937082326005,1801.04447356741,0.0024300296927244345,0.25468064116082945,1.0295669354835313
0.96,0.98,0.95,0.97,1.2127887592283886,1801.0412502819236,0.004338864307082377,0.26265823323931964,1.0297234796865182
0.98,0.99,0.95,0.95,1.29638784435271,1801.0386652755496,0.005789628009351776,0.26905609233622013,1.029973516454195
0.98,0.96,0.95,0.99,2.358156028368798,1801.013861623971,0.024215364837743177,0.33044482603129544,1.0302181503301093
1.0,0.95,0.96,0.98,3.2518337408313025,1800.9964397919466,0.03972408942294269,0.37356364679189114,1.0303783880881108
0.98,0.95,0.97,0.96,1.3484573827918527,1801.0363979380795,0.0066932335482053655,0.27466772478918644,1.0305826950418817
0.99,0.96,0.96,0.96,1.6307698760564582,1801.0287143858286,0.011592434506163079,0.2936844224503421,1.0311159272920987
0.95,0.95,0.97,0.98,1.1547615938983897,1801.0405806797505,0.003331871167370898,0.2643154904118198,1.031120767661274
0.95,0.97,0.96,0.97,1.0500696635707698,1801.0433137491932,0.0015150659689173495,0.25755117703420155,1.0311667044075647
0.98,0.98,0.95,0.96,1.43703615034714,1801.03323741024,0.008230413776551941,0.28248999246067347,1.0312165184859388
0.98,0.95,0.96,0.98,1.8416888034816024,1801.0235647069787,0.015252684179648686,0.3064298144958673,1.0313226979114531
0.95,1.0,0.95,0.96,1.0117713004484303,1801.0440438236146,0.0008504429650699249,0.2557442517880354,1.031360732065032
0.95,0.98,0.95,0.98,1.222203765820412,1801.037420151911,0.004502250662328038,0.2721377580833068,1.0320245773773893
0.95,0.98,0.96,0.96,0.9633027522935783,1801.0440921928139,9.328373203432335e-06,0.2556245386126466,1.0321459432083915
1.0,0.97,0.95,0.97,2.651177206855032,1801.0053340515874,0.02930040242053313,0.35155046317768945,1.0323979062848718
1.0,0.97,0.98,0.99,17.853776806447403,1800.8432723495703,0.2931236206582093,0.7526511896479227,1.0325492864506722
0.99,0.97,0.95,1.0,6.14258877711795,1800.950271449165,0.08988973983120331,0.4878297293958069,1.0326076363008851
0.99,0.97,0.95,0.97,2.0110564688432047,1801.0180837367452,0.018191860617755875,0.3199951486560287,1.0326393938450238
0.99,0.95,0.96,1.0,5.009765625000033,1800.9658117593565,0.0702309276834499,0.4493676521142391,1.0326673300744253
0.97,0.96,0.96,0.97,1.3429746823398059,1801.032827988623,0.006598087736568589,0.28350330594527534,1.0330641237457348
1.0,0.96,0.99,0.99,17.772606382978918,1800.8434618428562,0.29171500351974666,0.7521821960874696,1.0331726343404577
0.95,0.99,0.95,0.97,1.1066272700702198,1801.0386083537264,0.0024965566452162294,0.2691969731511178,1.033189300108346
0.97,0.96,0.95,1.0,2.3943357006755606,1801.0092478834763,0.024843220456792076,0.3418637772156227,1.0333448537933565
0.98,0.96,0.95,1.0,3.251833740831302,1800.9930398570523,0.039724089422942685,0.38197844399008524,1.0334589281184248
1.0,0.96,0.96,0.96,2.0509777157947853,1801.0159647006708,0.01888464685986077,0.32523973697200287,1.0336189929915751
0.96,0.96,0.97,0.96,1.0465596542936542,1801.0395011486548,0.001454153890199077,0.2669873166442765,1.0336227716299837
0.99,0.97,0.96,0.95,1.4576083517874103,1801.0289954411421,0.00858742011317554,0.292988813993667,1.0337994721817498
0.99,0.95,0.96,0.98,2.3581560283688012,1801.0091894771044,0.02421536483774323,0.34200833227023036,1.0339851805325853
0.99,0.98,0.97,1.0,17.85377680644748,1800.8422770646134,0.2931236206582107,0.7551145077191634,1.0343462357640751
0.98,0.96,0.97,0.95,1.2227508814497479,1801.0336928567942,0.0045117452099633915,0.2813627678202299,1.0344862843655172
0.96,0.95,0.98,0.96,1.0461392480132845,1801.0381124565797,0.001446858234141844,0.2704243125121658,1.0345229266324374
0.97,0.97,0.95,0.98,1.6135240822334513,1801.024232423211,0.011293154057602749,0.3047772250035353,1.0346160563678775
0.96,0.97,0.97,0.95,0.9634819894495619,1801.0397822039683,1.2438823032066812e-05,0.2662917081876014,1.0348364104331327
0.97,1.0,0.95,0.95,1.16880732720063,1801.0338391183582,0.00357561833298095,0.2810007722418713,1.035288840073643
0.98,0.95,0.98,0.95,1.2222037658204115,1801.0323041647189,0.00450225066232803,0.284799763688682,1.035435499842216
0.99,0.99,0.95,0.95,1.5581815606719855,1801.0242900456751,0.010332749749899652,0.3046346101111459,1.0354919178318895
0.96,0.95,0.99,0.95,0.9627652123314983,1801.038583005179,1.9266613541938527e-18,0.2692597104956004,1.0356161410948435
0.97,0.95,0.96,0.99,1.8526888766437826,1801.0172167825733,0.015443577499142155,0.32214084960718653,1.0359179871366881
0.99,0.95,0.97,0.96,1.6303089113582032,1801.0220227082054,0.011584435006512319,0.3102462425629868,1.0359623835573601
0.99,0.98,0.95,0.96,1.7549804640393634,1801.0188621803659,0.013747963029174547,0.31806851023447374,1.0362724823287937
0.97,0.98,0.96,0.95,1.1073059360730588,1801.033887487557,0.0025083340947112684,0.2808810590676081,1.0362836449994999
0.97,0.97,0.96,0.96,1.213328690987401,1801.030904464114,0.00434823418710574,0.2882640055328752,1.0365416420251488
0.99,0.95,1.0,1.0,17.612359550562118,1800.842493939298,0.2889341083995643,0.7545777455324917,1.0368231653712316
0.95,0.97,0.95,1.0,1.664970805835032,1801.019733644046,0.012185951378181866,0.3159116483056744,1.0371001707597178
0.96,0.96,0.96,0.98,1.3487881981032672,1801.026667917554,0.006698974458470609,0.29874940635095737,1.037255096462246
0.96,0.95,0.96,1.0,1.8865062400882593,1801.0146695144178,0.016030438029000102,0.3284453070758889,1.0373391049341465
0.95,0.96,0.97,0.97,1.0500696635707694,1801.0336359349712,0.0015150659689173419,0.28150364863456484,1.0374085346099808
1.0,0.97,0.95,0.98,3.7188472878815433,1800.9808994817552,0.04782855972331754,0.4120257240734589,1.0374948910605921
0.96,0.97,0.95,0.99,1.6303089113582034,1801.0199509711451,0.011584435006512322,0.3153737663986669,1.0375094899102737
1.0,0.97,0.96,0.95,1.7955962587685126,1801.016245755984,0.014452802330277518,0.3245441285158905,1.0376088714871234
0.96,0.96,0.98,0.95,0.9633027522935783,1801.0354073752942,9.328373203432335e-06,0.27711935554377204,1.0376784090254587
0.97,0.95,0.97,0.97,1.3426463284129881,1801.0261363109998,0.006592389540735269,0.30006512605792,1.0377368454451936
0.99,0.98,0.95,1.0,7.890370852309752,1800.924580239282,0.12022044010614767,0.551415159017448,1.0383018595770972
0.95,0.95,0.98,0.97,1.0496468903570155,1801.0322472428957,0.0015077292375177847,0.28494064450357964,1.038353497448019
0.95,0.96,0.96,0.99,1.366542354821524,1801.0247164065447,0.007007076946589297,0.30357937218383135,1.038361873553573
1.0,0.98,0.95,0.96,2.240853658536589,1801.006112495208,0.022179720307785988,0.3496238247561345,1.0384456260269326
0.97,0.98,0.95,0.97,1.4305479535364598,1801.0229757831603,0.008117818759368236,0.30788739372940704,1.0385686826975675
0.97,0.99,0.95,0.96,1.285974662560603,1801.0261990686467,0.00560891949864672,0.29990980165091685,1.0386334820844845
1.0,0.99,0.95,0.95,1.9426325745222128,1801.0115403605173,0.017004444486333016,0.33618992463280667,1.0388955325653466
1.0,0.95,0.97,0.96,2.0502836800534006,1801.0092730230476,0.018872602686647855,0.34180155708464754,1.0389606701816783
0.99,0.95,0.96,0.99,3.2185226494968333,1800.9866335262752,0.03914601464952667,0.3978340341554493,1.0399578356338717
0.95,0.97,0.97,0.96,0.9634819894495624,1801.0317124104618,1.2438823032076445e-05,0.28626434822329017,1.0401549882456775
0.98,0.96,0.96,0.97,1.6139767054908498,1801.0166199621995,0.01130100880136771,0.32361797271861237,1.0403145137234688
0.98,0.97,0.95,0.98,1.998317455632367,1801.008024396787,0.017970790040948367,0.34489189177799784,1.040832256526961
0.99,0.96,0.97,0.95,1.4576083517874103,1801.01931762692,0.00858742011317554,0.31694128559459295,1.0408413337642786
0.98,0.95,0.96,0.99,2.3581560283687972,1801.0010087561495,0.02421536483774316,0.3622555163810863,1.040857681610347
0.95,0.95,0.99,0.96,0.9627652123314984,1801.0305132116723,3.853322708387705e-18,0.28923235053128915,1.0409876812882344
0.96,0.99,0.96,0.95,1.0125333070166784,1801.0289156183032,0.0008636666919619264,0.2931863745416638,1.0412644538027387
1.0,0.96,0.96,0.99,6.148007590132866,1800.9425045265057,0.08998377695158248,0.5070527677961874,1.0417447074696764
0.99,0.95,0.98,0.95,1.4568672824870559,1801.0179289348448,0.008574559727918672,0.3203782814624823,1.0419052964888622
